POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
CH,BRESCIANA,465,2002,20020914,,,2810.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRESCIANA,465,2003,20030917,,,2910.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRESCIANA,465,2004,20040922,,,2910.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRESCIANA,465,2005,20050831,,,2910.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRESCIANA,465,2009,20099999,3368.0,3127.0,2934.0,,0.75,,0.48100001,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRICHLIG-S,4749,2010,20109999,2753.0,2705.0,2667.0,,0.14,,0.011,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRICOLA GLACIER DE,5559,2010,20109999,3709.0,3290.0,2918.0,,1.83,,1.0089999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRISTEN-N,4842,2010,20109999,2589.0,2510.0,2428.0,,0.2,,0.024,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BROCHET GLACIER DU,5230,2010,20109999,3049.0,2952.0,2880.0,,0.41,,0.118,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRUENBERG-N,5030,2010,20109999,2737.0,2643.0,2567.0,,0.15000001,,0.028999999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRUENBERG-NE,5053,2010,20109999,2574.0,2544.0,2503.0,,0.090000004,,0.0060000001,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRUENBERG-NW,5054,2010,20109999,2952.0,2891.0,2855.0,,0.12,,0.0070000002,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRUNEGG,384,1960,19609999,4134.0,,,,,,,,,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRUNEGG,384,1965,19651012,,,2456.0,,,,,,,,,PSFG (1973): FoG 1965-1970 (Vol. II).,
CH,BRUNEGG,384,1973,19739999,,,,,,,6.1199999,,,,,,
CH,BRUNEGG,384,1975,19759999,4130.0,3160.0,2430.0,,4.9000001,,6.1199999,,,,,PSFG (1977): FoG 1970-1975 (Vol. III).,
CH,BRUNEGG,384,1976,19769999,,,2464.0,1.0,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRUNEGG,384,1977,19779999,,,2464.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRUNEGG,384,1978,19789999,,,2464.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRUNEGG,384,1979,19799999,,,2456.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRUNEGG,384,1980,19809999,,,2456.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
